userId,user2Id,rating
15497,15560,4
15560,15497,4
7304,15427,7
15427,7304,7
16304,16081,4
16081,16304,4
12217,13057,7
13057,12217,7
63,15550,1
15550,63,1
16093,15550,1
15550,16093,1
14412,16093,1
16093,14412,1
16109,16274,1
16274,16109,1
41,16109,1
16109,41,1
16093,16228,2
16228,16093,2
16109,16093,1
16093,16109,1
16093,41,1
41,16093,1
16109,16228,1
16228,16109,1
41,16228,1
16228,41,1
16093,3129,2
3129,16093,2
3129,16199,1
16199,3129,1
3129,15943,4
15943,3129,4
10736,15821,2
15821,10736,2
15821,16109,1
16109,15821,1
38,27,10
27,38,10
59,58,10
58,59,10
59,60,8
60,59,8
47,58,7
58,47,7
62,59,10
59,62,10
47,62,10
62,47,10
47,63,7
63,47,7
59,61,8
61,59,8
63,60,7
60,63,7
47,38,5
38,47,5
38,60,9
60,38,9
66,63,7
63,66,7
66,61,10
61,66,10
63,61,8
61,63,8
27,61,9
61,27,9
63,58,8
58,63,8
63,27,7
27,63,7
38,63,7
63,38,7
27,58,7
58,27,7
38,61,7
61,38,7
59,38,7
38,59,7
61,69,8
69,61,8
41,62,8
62,41,8
70,47,7
47,70,7
70,62,7
62,70,7
70,63,7
63,70,7
63,62,8
62,63,8
59,71,5
71,59,5
63,59,8
59,63,8
67,59,4
59,67,4
67,58,6
58,67,6
67,63,4
63,67,4
70,61,7
61,70,7
58,72,7
72,58,7
62,68,10
68,62,10
68,58,8
58,68,8
62,27,8
27,62,8
41,27,7
27,41,7
61,62,8
62,61,8
69,62,5
62,69,5
47,69,7
69,47,7
47,61,5
61,47,5
63,37,8
37,63,8
93,61,5
61,93,5
94,63,7
63,94,7
61,94,4
94,61,4
61,41,10
41,61,10
95,97,6
97,95,6
96,95,5
95,96,5
97,96,5
96,97,5
98,95,4
95,98,4
98,97,5
97,98,5
94,38,7
38,94,7
16325,16326,1
16326,16325,1
66,38,7
38,66,7
59,102,5
102,59,5
58,103,5
103,58,5
106,105,4
105,106,4
58,66,7
66,58,7
66,59,7
59,66,7
58,110,7
110,58,7
58,61,7
61,58,7
105,58,4
58,105,4
59,105,6
105,59,6
58,116,5
116,58,5
116,59,5
59,116,5
58,119,6
119,58,6
59,119,4
119,59,4
66,27,9
27,66,9
61,123,7
123,61,7
124,58,7
58,124,7
123,58,4
58,123,4
123,59,4
59,123,4
123,62,6
62,123,6
124,127,5
127,124,5
128,59,7
59,128,7
58,130,7
130,58,7
62,60,7
60,62,7
57,62,5
62,57,5
62,58,8
58,62,8
61,110,5
110,61,5
59,124,7
124,59,7
38,41,8
41,38,8
59,134,4
134,59,4
58,134,5
134,58,5
59,137,5
137,59,5
124,62,7
62,124,7
62,135,7
135,62,7
139,62,7
62,139,7
58,137,4
137,58,4
59,118,4
118,59,4
58,143,5
143,58,5
143,124,5
124,143,5
145,144,5
144,145,5
124,146,5
146,124,5
59,135,7
135,59,7
59,154,7
154,59,7
58,154,5
154,58,5
124,155,4
155,124,4
124,154,7
154,124,7
61,137,4
137,61,4
63,137,5
137,63,5
124,41,6
41,124,6
58,153,7
153,58,7
41,58,7
58,41,8
58,157,5
157,58,5
158,58,7
58,158,7
58,161,6
161,58,6
59,125,7
125,59,7
160,58,7
58,160,7
146,59,6
59,146,6
58,167,4
167,58,4
58,169,5
169,58,5
169,63,4
63,169,4
63,124,5
124,63,5
58,171,7
171,58,7
59,171,7
171,59,7
58,135,7
135,58,7
63,41,8
41,63,8
63,174,4
174,63,4
41,174,4
174,41,4
179,160,7
160,179,7
181,182,4
182,181,4
124,185,4
185,124,4
124,183,5
183,124,5
59,156,7
156,59,7
58,52,4
52,58,4
59,196,4
196,59,4
202,41,6
41,202,6
58,203,4
203,58,4
205,58,5
58,205,5
59,160,7
160,59,7
58,207,5
207,58,5
124,61,5
61,124,5
63,211,4
211,63,4
160,61,5
61,160,5
160,63,7
63,160,7
58,223,5
223,58,5
59,225,7
225,59,7
226,58,4
58,226,4
227,63,4
63,227,4
225,63,4
63,225,4
63,142,7
142,63,7
59,52,4
52,59,4
228,58,4
58,228,4
104,59,7
59,104,7
58,104,7
104,58,7
237,156,4
156,237,4
160,238,4
238,160,4
239,234,5
234,239,5
244,58,4
58,244,4
59,207,4
207,59,4
245,207,4
207,245,4
124,142,4
142,124,4
160,250,4
250,160,4
160,124,6
124,160,6
160,183,4
183,160,4
52,213,4
213,52,4
213,183,4
183,213,4
59,182,4
182,59,4
251,127,4
127,251,4
127,252,5
252,127,5
252,41,4
41,252,4
127,41,4
41,127,4
58,250,4
250,58,4
160,135,7
135,160,7
160,255,4
255,160,4
160,254,4
254,160,4
45,135,7
135,45,7
160,257,7
257,160,7
257,45,4
45,257,4
41,45,7
45,41,7
257,41,4
41,257,4
45,258,4
258,45,4
258,257,5
257,258,5
258,160,5
160,258,5
135,257,5
257,135,5
259,258,4
258,259,4
257,259,4
259,257,4
258,135,4
135,258,4
136,160,1
160,136,1
160,262,7
262,160,7
135,124,4
124,135,4
58,265,5
265,58,5
59,266,4
266,59,4
265,124,4
124,265,4
268,124,4
124,268,4
59,269,4
269,59,4
269,41,4
41,269,4
41,160,4
160,41,4
160,265,4
265,160,4
59,265,4
265,59,4
58,270,5
270,58,5
270,135,4
135,270,4
160,272,4
272,160,4
160,62,7
62,160,7
160,268,4
268,160,4
62,253,4
253,62,4
62,234,5
234,62,5
60,234,4
234,60,4
60,274,4
274,60,4
62,274,7
274,62,7
60,135,5
135,60,5
62,269,7
269,62,7
269,182,4
182,269,4
60,259,4
259,60,4
62,259,5
259,62,5
160,273,4
273,160,4
273,59,5
59,273,5
213,59,4
59,213,4
273,62,4
62,273,4
59,183,4
183,59,4
59,276,7
276,59,7
276,58,4
58,276,4
